Source,Target,Weight
1,37,2
1,40,1
1,41,3
1,42,5
1,43,2
1,44,1
1,45,1
1,46,1
1,47,1
1,48,5
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,2
1,56,1
1,57,2
1,58,1
1,59,1
1,60,1
1,61,1
1,62,2
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
2,1,5
2,3,5
2,4,1
2,5,3
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,2
2,16,1
2,17,4
2,18,1
2,19,1
2,20,1
2,21,2
2,22,2
2,23,1
2,24,1
16,1,1
16,47,1
16,73,1
16,109,1
16,232,1
17,1,1
17,3,4
17,7,3
17,8,1
17,9,3
17,34,2
17,40,1
17,41,6
17,42,1
17,43,1
17,48,1
17,57,1
17,59,1
17,62,1
17,64,2
17,66,2
17,78,3
17,79,1
17,80,4
17,81,1
17,101,1
17,107,1
17,108,1
17,109,9
17,112,1
17,124,1
17,137,7
17,146,1
17,168,6
17,169,1
17,171,10
17,172,1
17,173,1
17,182,1
17,191,2
17,195,1
17,196,1
17,199,1
17,209,1
17,225,4
17,227,1
17,245,1
17,246,2
17,267,1
17,269,1
17,270,1
17,277,1
17,281,1
17,282,1
17,286,1
17,298,3
17,299,1
17,302,1
17,307,4
17,308,1
17,309,2
17,310,1
17,311,1
17,312,1
17,313,1
17,314,1
17,315,1
17,315,1
17,317,1
17,318,1
17,319,1
17,320,1
17,321,1
17,323,1
17,324,1
17,325,2
17,326,1
17,327,1
17,328,1
17,329,1
17,330,1
17,331,1
17,332,1
17,333,1
17,334,1
17,335,1
17,336,1
17,337,1
17,338,1
17,339,1
18,17,4
18,22,1
18,51,1
18,54,1
18,100,1
18,101,2
18,102,1
18,103,1
18,104,1
18,105,2
18,106,1
18,107,2
18,109,1
18,120,1
18,137,1
18,139,1
18,168,2
18,171,1
18,225,1
18,248,1
18,263,1
18,264,3
18,265,1
18,266,1
18,267,1
18,307,2
18,340,1
18,341,2
18,342,1
21,17,1
21,17,3
21,18,1
21,41,2
21,124,1
21,168,1
21,168,2
21,171,1
21,171,1
25,3,1
25,42,1
25,65,1
25,243,2
25,244,1
41,1,2
41,17,1
41,37,3
41,40,2
41,43,4
41,45,1
41,48,3
41,49,1
41,53,1
41,66,1
41,71,1
41,90,1
41,105,1
41,106,1
41,108,1
41,109,2
41,110,1
41,111,1
41,112,1
41,113,1
41,131,1
61,1,1
61,37,1
61,48,1
61,53,1
61,213,1
61,215,1
61,216,1
61,217,1
61,253,1
61,322,1
65,9,1
65,43,1
65,45,1
65,52,1
65,66,4
65,101,1
65,119,1
65,122,1
65,148,1
65,149,3
65,150,1
65,151,1
65,152,1
65,153,1
65,154,1
65,155,1
65,156,1
65,157,1
65,158,1
65,159,1
65,160,1
72,34,1
72,42,1
72,50,1
72,65,2
72,71,1
72,71,1
72,92,1
72,174,1
72,240,1
72,241,1
72,242,1
79,1,1
79,34,1
79,41,2
79,41,1
79,43,1
79,43,2
79,66,1
79,78,1
79,124,1
79,148,1
79,197,1
79,199,1
79,214,2
79,223,1
79,224,1
79,225,1
79,226,1
79,227,1
