ID,Label,Gender,Origin
1,J.J. Cremer,M,Dutch
2,Marie Gijsen,F,Dutch
3,Israël Querido,M,Dutch
4,L.H.J. Lamberts Hurrelbrinck,M,Dutch
5,Marie Koenen,F,Dutch
6,Wally Moes,M,Dutch
7,Guy de Maupassant,M,French
8,Frans Coenen,M,Dutch
9,Gustave Flaubert,M,French
10,Ina Boudier-Bakker,F,Dutch
11,Fernan Caballero,M,Spanish
12,Pardo Bazan,F,Spanish
13,Perez Galdós,M,Spanish
14,Grazia Deledda,F,Italian
15,Clara Viebig,F,German
16,Bernard Hendricus Stephanus van Meurs (S.J.),M,Dutch
17,Stijn Streuvels,M,Belgian
18,Felix Timmermans,M,Belgian
19,René de Clercq,M,Belgian
20,Richard de Cneudt,M,Belgian
21,Edward Vermeulen,M,Belgian
22,Felix Rutten,M,Dutch
23,Jan Bogaerts,M,Dutch
24,Emiel de Grave,M,Belgian
25,Idsardi,M,Dutch
26,Augusta de Wit,F,Dutch
27,Bas Veth,M,Dutch
28,Joseph Chailley-Bert,M,French
29,Hélène Lapidoth Swarth,F,Dutch
30,Johanna van Woude,F,Dutch
31,Cornelie Huygens,F,Dutch
32,Anna de Savornin Lohman,F,Dutch
33,Jeanne Reyneke Van Stuwe,F,Dutch
34,Multatuli,M,Dutch
35,Louis Couperus,M,Dutch
36,F. de Sinclair,M ,Dutch 
37,Walter Scott,M,Scottish
38,Henriette Roland Holst,F,Dutch
39,Elisabeth Barrett Browning,F,English
40,George Sand,F,French
41,Hendrik Conscience,M,Belgian
42,Berthold Auerbach,M,German
43,Jacob van Lennep,M,Dutch
44,Hendrik Jan Schimmel,M,Dutch
45,A.L.G. Bosboom-Toussaint,F,Dutch
46,A.J. de Bull,M,Dutch
47,Émile Souvestre,M,French
48,Charles Dickens,M,English
49,Miguel de Cervantes,M,Spanish
50,Laurence Sterne,M,Irish
51,Gerbrand Bredero,M,Dutch
52,Constantijn Huygens,M,Dutch
53,William Makepeace Thackeray,M,English
54,Jean de La Fontaine,M,French
55,Molière,M,French
56,Voltaire,M,French
57,Erckmann-Chatrian,M,French
58,Edmond Gondinet,M,French
59,Honoré de Balzac,M,French
60,Conrad Busken Huet,M,Dutch
61,Gerard Keller,M,Dutch
62,Johann Wolfgang von Goethe,M,German
63,Charles Reade,M,English
64,Victor Hugo,M,French
